"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"15","bursera simaruba",227,TRUE,"Bursera simaruba",227,TRUE,"iPlant_TNRS","1","(L.) Sarg.","http://www.tropicos.org/Name/4700231",1
"16","byrsonima crassa",1000020864,TRUE,"",NA,FALSE,"iPlant_TNRS","1","","",13
"17","byrsonima crassifolia",35029,TRUE,"Byrsonima crassifolia",35029,TRUE,"iPlant_TNRS","1","(L.) Kunth","http://www.tropicos.org/Name/19500795",1
"18","cabralea canjerana",1000001911,TRUE,"Cabralea canjerana",1000001911,TRUE,"iPlant_TNRS","1","(Vell.) Mart.","http://www.tropicos.org/Name/20400624",1
"19","caesalpinia eriostachys",1000001917,TRUE,"Poincianella eriostachys",NA,FALSE,"iPlant_TNRS","1","(Benth.) Britton & Rose","http://www.tropicos.org/Name/13015217",9
"20","calycophyllum candidissimum",41267,TRUE,"Calycophyllum candidissimum",41267,TRUE,"iPlant_TNRS","1","(Vahl) DC.","http://www.tropicos.org/Name/27903157",1
"21","capparis indica",46256,TRUE,"Quadrella indica",NA,FALSE,"iPlant_TNRS","1","(L.) Iltis & Cornejo","http://www.tropicos.org/Name/50298080",9
"22","carapa guianensis",46649,TRUE,"Carapa guianensis",46649,TRUE,"iPlant_TNRS","1","Aubl.","http://www.tropicos.org/Name/20400362",1
"23","caryocar brasiliense",10238,TRUE,"Caryocar brasiliense",10238,TRUE,"iPlant_TNRS","1","Cambess.","http://www.tropicos.org/Name/6200020",1
"24","casearia corymbosa",1000002246,TRUE,"Casearia corymbosa",1000002246,TRUE,"iPlant_TNRS","1","Kunth","http://www.tropicos.org/Name/13200097",1
"25","casearia sylvestris",281,TRUE,"Casearia sylvestris",281,TRUE,"iPlant_TNRS","1","Sw.","http://www.tropicos.org/Name/13200167",1
"26","cassipourea guianensis",10766,TRUE,"Cassipourea guianensis",10766,TRUE,"iPlant_TNRS","1","Aubl.","http://www.tropicos.org/Name/27600003",1
"27","cecropia obtusifolia",15822,TRUE,"Cecropia obtusifolia",15822,TRUE,"iPlant_TNRS","1","Bertol.","http://www.tropicos.org/Name/21300586",1
"28","cedrela fissilis",1000002385,TRUE,"Cedrela fissilis",1000002385,TRUE,"iPlant_TNRS","1","Vell.","http://www.tropicos.org/Name/20400355",1
