"","Observation","CurveID","Site.Name","canopy.ground","Family","Order","Clade","Growth.form","LimitState","Amax","Vcmax25","Jmax25","tpu25","numrubisco","numrubp","numtpu","LMA","Nmass","Cmass","Pmass","wood.density","density.source","species","citation_id","lat","lon","site_id"
"26",38,"no38-2013jan24brick8of8.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree","RubiscoRuBpTpu",15.82,51.23,76.19,4.87,"7","4","5",105.27,18.5,457.9,1.02,0.524,"Wright et al.","Cinnamomum triplinerve",2000000018,8.994504,-79.542955,2000000002
"27",40,"no40-2013jan24cecilia4of4.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree","RubiscoRuBpTpu",21.89,60.13,96.55,6.37,"9","3","4",104.08,20.4,463.2,1,0.524,"Wright et al.","Cinnamomum triplinerve",2000000018,8.994504,-79.542955,2000000002
"28",41,"no41-2013jan24agnes7of8.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu",15,42.93,67.16,4.31,"8","2","5",93.91,23.4,437,1.1,0.337,"Wright et al.","Castilla elastica",2000000018,8.994504,-79.542955,2000000002
"29",45,"no45-2013jan24brick3of8.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBpTpu",21.56,60.62,98.26,6.22,"7","3","5",86.58,24.6,467.3,1.17,0.603,"Wright et al.","Pittoniotis trichantha",2000000018,8.994504,-79.542955,2000000002
"30",46,"no46a-2013jan24dorothy1_3of3.csv","PNM","canopy","Primulaceae","Ericales","asterids","tree"," ",NA,NA,NA,NA,"NA","NA","NA",40.19,20.4,442,1.66,NA,"","Stylogyne standleyi",2000000018,8.994504,-79.542955,2000000002
"31",47,"no47-2013jan24dorothy4_3of3.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBp",9.3,31.5,40.16,2.92,"7","8","0",28.67,31.1,429.3,1.51,0.494,"Wright et al.","Annona hayesii",2000000018,8.994504,-79.542955,2000000002
"32",48,"no48-2013jan24dorothy1_2of3.csv","PNM","canopy","Chrysobalanaceae","Malpighiales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",35.36,16.9,407.7,0.93,0.623,"Wright et al.","Hirtella triandra",2000000018,8.994504,-79.542955,2000000002
"33",49,"corw1,dorothy,14:10","PNM","canopy","Fabaceae","Fabales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",40.99,31.1,461.2,1.13,NA,"","Cojoba rufescens",2000000018,8.994504,-79.542955,2000000002
"34",50,"no50-2013jan25cecilia2_4of4.csv","PNM","canopy","Arecaceae","Arecales","monocots","tree","RubiscoRuBp",8.41,20.4,36.22,2.72,"11","3","0",47.55,19.3,473.4,1.27,0.713,"Chave et al. ","Oenocarpus mapora",2000000018,8.994504,-79.542955,2000000002
"35",51,"no51-2013jan25cecilia2_2of4.csv","PNM","ground","Bignoniaceae","Lamiales","asterids","tree","RubiscoRuBpTpu",14.02,40.23,65.45,4.48,"11","3","2",39.27,25.1,425.3,1.32,NA,"","Unknown",2000000018,8.994504,-79.542955,2000000002
"36",53,"no53-2013jan25cecilia2_1of4.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree","RubiscoRuBp",10.51,33.4,51.65,3.72,"9","6","0",33.83,23.4,463.3,2.41,NA,"","Ocotea martinicensis",2000000018,8.994504,-79.542955,2000000002
"37",54,"no54a-2013jan25brick1_1of2.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu",17.74,46.64,70.68,4.82,"9","3","4",119.22,21.4,457.1,1.01,0.573,"Wright et al.","Luehea seemanii",2000000018,8.994504,-79.542955,2000000002
"38",55,"no55-2013jan25brick3_1of3.csv","PNM","canopy","Boraginaceae","Boraginaceae","asterids","tree","RubiscoRuBpTpu",28.6,65.25,108.56,7.78,"11","3","1",94.39,37.9,415.3,1.56,0.434,"Wright et al.","Cordia alliodora",2000000018,8.994504,-79.542955,2000000002
"39",61,"no61-2013jan25dorothy4_1of3.csv","PNM","canopy","Boraginaceae","Boraginaceae","asterids","tree","RubiscoRuBpTpu",11.34,74.76,114.05,7.95,"11","3","2",79.25,36,416,1.49,0.434,"Wright et al.","Cordia alliodora",2000000018,8.994504,-79.542955,2000000002
"40",67,"no67-2013jan25brick2_1of2.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu",17.24,39.56,62.81,4.36,"11","2","3",102.19,18.6,463.7,0.94,0.777,"Wright et al.","Chrysophyllum cainito",2000000018,8.994504,-79.542955,2000000002
"41",71,"no71-2013jan25agnes3of8.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu",20.65,46.93,73.24,5.04,"10","3","3",104.79,18.7,468.4,1.02,0.777,"Wright et al.","Chrysophyllum cainito",2000000018,8.994504,-79.542955,2000000002
"42",74,"no74-2013jan25brick1_2of2.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu",29.79,44.71,71.87,5,"10","3","3",109.76,19.9,442.1,0.92,0.573,"Wright et al.","Luehea seemanii",2000000018,8.994504,-79.542955,2000000002
"43",77,"no77-2013jan26agnes1_1of6.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu",30.17,66.82,109.65,7.06,"10","2","4",51.81,37.5,438.5,2.02,0.305,"Wright et al.","Cecropia obtusifolia",2000000018,8.994504,-79.542955,2000000002
"44",78,"no78-2013jan26cecilia1_1of2.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu",18.9,77.21,125.31,8.35,"10","3","3",61.27,33.5,441.8,1.54,0.305,"Wright et al.","Cecropia obtusifolia",2000000018,8.994504,-79.542955,2000000002
"45",83,"no83-2013jan26agnes1_4of6.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",69.78,20.5,433.5,1.24,0.573,"Wright et al.","Luehea seemanii",2000000018,8.994504,-79.542955,2000000002
"46",84,"no84-2013jan26cecilia2_1of2.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBp",22.39,26.57,55.41,4.64,"14","2","0",79.72,23.3,458.8,1.23,0.573,"Wright et al.","Luehea seemanii",2000000018,8.994504,-79.542955,2000000002
"47",85,"no85-2013jan26dorothy_4of4.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBp",22.97,40.98,67.46,5.79,"12","4","0",82.32,22.6,445.5,1.16,0.426,"Wright et al.","Annona spraguei",2000000018,8.994504,-79.542955,2000000002
"48",86,"no86-2013jan26dorothy1_1of2.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoTpu",6.5,58.24,NA,5.59,"12","0","1",61.62,21.5,460.7,0.88,0.641,"Wright et al.","Posoqueria latifolia",2000000018,8.994504,-79.542955,2000000002
"49",87,"no87-2013jan26agnes1_5of6.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu",11.27,16.29,27.58,2.03,"9","5","1",45.89,18.5,439.3,0.99,0.777,"Wright et al.","Chrysophyllum cainito",2000000018,8.994504,-79.542955,2000000002
"50",88,"no88-2013jan26dorothy1_2of2.csv","PNM","canopy","Arecaceae","Arecales","monocots","tree","RubiscoRuBp",7.75,27.89,46.72,3.55,"11","4","0",56.53,18.8,479.2,1.24,0.713,"Chave et al. ","Oenocarpus mapora",2000000018,8.994504,-79.542955,2000000002
"51",89,"no89-2013jan26agnes1_6of6.csv","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","RubiscoRuBp",15.94,18.03,28.78,2.23,"10","5","0",32.88,29.3,448.1,2.31,0.808,"Wright et al.","Astronium graveolens",2000000018,8.994504,-79.542955,2000000002
"52",102,"nonut-2013jan29agnes.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",73.57,26.92,480.4,0.96,0.73,"","Pera arborea",2000000018,9.280225,-79.975527,2000000003
"53",104,"no104-2013jan29brick2.csv","SLZ","ground","Myrtaceae","Myrtales","rosids","tree","RubiscoRuBp",8.05,17.31,34.81,2.62,"11","4","0",64.84,11.6,423.8,0.98,0.788,"Wright et al.","Aulomyrcia zetekiana",2000000018,9.280225,-79.975527,2000000003
"54",105,"no105-2013jan29brick_3of3.csv","SLZ","ground","Ochnaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu",10.94,36.22,49.59,3.34,"10","3","1",42.87,18,454.3,1.14,0.588,"Chave et al. ","Cespedesia spathulata",2000000018,9.280225,-79.975527,2000000003
"55",106,"no106-2013jan29brick2_1.csv","SLZ","ground","Fabaceae","Fabales","rosids","tree","RubiscoRuBpTpu",8.08,23.91,37.55,2.73,"7","7","1",42.06,30.1,477.2,1.26,0.648,"Wright et al.","Andira inermis",2000000018,9.280225,-79.975527,2000000003
"56",107,"no107-2013jan29brick_2of3.csv","SLZ","ground","Calophyllaceae","Malpighiales","rosids","tree","RubiscoRuBp",5.64,13.83,26.09,1.9,"10","5","0",32.15,20.9,457.2,1.03,0.673,"Wright et al.","Marila laxiflora",2000000018,9.280225,-79.975527,2000000003
"57",108,"no108-2013jan29brick3.csv","SLZ","ground","Moraceae","Rosales","rosids","tree","RuBpTpu",7.5,NA,48.78,3.46,"0","13","1",32.95,14.6,364.8,1.53,0.315,"Wright et al.","Poulsenia armata",2000000018,9.280225,-79.975527,2000000003
"58",110,"no110-2013jan29brick_1of3.csv","SLZ","ground","Melastomataceae","Myrtales","rosids","tree","RubiscoRuBpTpu",11.31,32.36,57.65,3.72,"10","1","4",42.6,21,470.6,1.1,0.57,"Wright et al.","Miconia affinis",2000000018,9.280225,-79.975527,2000000003
"59",111,"no111-13jan29cecelia2.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBp",7.8,15.22,30.97,2.53,"12","3","0",73.33,18.1,469.9,0.6,0.84,"Wright et al.","Xylopia macrantha",2000000018,9.280225,-79.975527,2000000003
"60",112,"no112-13jan29agnes_3of3.csv","SLZ","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu",16.82,62.48,85.2,5.11,"5","3","7",64.82,26,435.4,1.21,0.357,"Wright et al.","Pourouma bicolor",2000000018,9.280225,-79.975527,2000000003
"61",113,"no113-13jan29agnes1.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu",9.98,28.9,49.56,3.23,"11","1","4",71.2,24.3,474.8,0.85,0.84,"Wright et al.","Xylopia macrantha",2000000018,9.280225,-79.975527,2000000003
"62",114,"no114-13jan29dorothy.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",79.96,17.6,422,0.84,0.337,"Wright et al.","Castilla elastica",2000000018,9.280225,-79.975527,2000000003
"63",115,"no115-13jan29cecelia1.csv","SLZ","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu",21.15,53.91,90.3,6.22,"9","4","3",69.07,26.3,437.6,1.41,0.357,"Wright et al.","Pourouma bicolor",2000000018,9.280225,-79.975527,2000000003
"64",116,"no116-13jan29cecelia3.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoTpu",15.78,24.47,NA,4.24,"15","0","1",89.18,27.9,458.2,1.77,0.446,"Wright et al.","Guatteria dumetorum",2000000018,9.280225,-79.975527,2000000003
"65",117,"no117-13jan29agnes_2of3.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu",11.03,26.87,51.32,3.53,"11","2","2",92.26,18.9,432.4,0.87,0.337,"Wright et al.","Castilla elastica",2000000018,9.280225,-79.975527,2000000003
"66",118,"no118-13jan29agnes2.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu",15.44,38.99,70.17,4.79,"9","3","2",85.63,23.7,461.3,1.12,0.446,"Wright et al.","Guatteria dumetorum",2000000018,9.280225,-79.975527,2000000003
"67",119,"no119-13jan29cecelia.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",80.67,18,436.3,0.89,0.337,"Wright et al.","Castilla elastica",2000000018,9.280225,-79.975527,2000000003
"68",120,"no120-13jan29agnes_1of3.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu",12.62,30.67,55.76,3.84,"11","3","2",74.04,20.1,432.1,1.03,0.337,"Wright et al.","Castilla elastica",2000000018,9.280225,-79.975527,2000000003
"69",121,"no121-13jan29dorothy2.csv","SLZ","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu",12.15,32.25,55.05,3.69,"11","2","3",68.13,24.8,481.5,0.85,0.84,"Wright et al.","Xylopia macrantha",2000000018,9.280225,-79.975527,2000000003
"70",123,"no123-13jan29dorothy1.csv","SLZ","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu",18.14,60.43,87.51,5.42,"6","4","6",72.15,25.6,437.6,1.13,0.357,"Wright et al.","Pourouma bicolor",2000000018,9.280225,-79.975527,2000000003
"71",125,"7-Cassiporea ellipfiea,brick","SLZ","ground","Rhizophoraceae","Rhizophorales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",41.87,26.48,421.1,1.24,0.631,"","Cassipourea elliptica",2000000018,9.280225,-79.975527,2000000003
"72",126,"no126-2013jan29brick3_1.csv","SLZ","ground","Araliaceae","Apilaes","asterids","tree","RubiscoRuBpTpu",11.14,29.05,50.51,3.53,"10","5","1",41.53,17.4,428.7,1.05,0.411,"Wright et al.","Dendropanax arboreus",2000000018,9.280225,-79.975527,2000000003
"73",127,"no127-2013jan29brick3_2.csv","SLZ","canopy","Lacistemataceae","Malpighiales","rosids","tree","RubiscoTpu",8.23,19.85,NA,2.58,"11","0","5",53.23,20.6,439.3,0.68,0.558,"Wright et al.","Lacistema aggregatum",2000000018,9.280225,-79.975527,2000000003
"74",128,"no128-13jan30dorothy3.csv","SLZ","canopy","Apocynaceae","Gentianales","asterids","tree","RubiscoTpu",7.9,16.97,NA,2.48,"11","0","3",143.59,17.7,490.5,0.61,0.777,"Chave et al. ","Aspidosperma megalocarpon",2000000018,9.280225,-79.975527,2000000003
"75",129,"no129-13jan30agnes2.csv","SLZ","canopy","Apocynaceae","Gentianales","asterids","tree","",NA,NA,NA,NA,"NA","NA","NA",155.18,16.8,489.4,0.54,0.777,"Chave et al. ","Aspidosperma megalocarpon",2000000018,9.280225,-79.975527,2000000003
"76",130,"no130-13jan30dorothy1.csv","SLZ","canopy","Anacardiaceae","Sapindales","rosids","tree","RubiscoRuBp",12.2,21.7,46.2,3.69,"11","3","0",107.87,14.7,472,0.72,0.494,"Wright et al.","Tapirira guianensis",2000000018,9.280225,-79.975527,2000000003
"77",131,"no131-13jan30dorothy.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu",15.15,47.28,74.51,4.72,"8","1","5",101.72,15.6,470.1,1.15,0.509,"Wright et al.","Brosimum utile",2000000018,9.280225,-79.975527,2000000003
"78",132,"no132-13jan30agnes.csv","SLZ","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu",16.25,40.41,70.58,4.79,"10","3","3",117.1,16.7,487.7,0.9,0.321,"Wright et al.","Apeiba membranacea",2000000018,9.280225,-79.975527,2000000003
"79",133,"APME-01,Cecilia,","SLZ","canopy","Malvaceae","Malvales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",115.2,17.2,479.7,0.88,0.278,"","Apeiba membranacea",2000000018,9.280225,-79.975527,2000000003
"80",134,"no134-13jan30agnes4.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu",23.77,60.44,102.52,6.68,"10","2","3",141.22,21.1,443.6,1.41,0.502,"Wright et al.","Sapium glandulosum",2000000018,9.280225,-79.975527,2000000003
"81",135,"TAGU-03,cecilia, crane","SLZ","canopy","Anacardiaceae","Sapindales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",52.52,26.93,457.1,2.78,0.457,"Chave et al. ","Tapirira guianensis",2000000018,9.280225,-79.975527,2000000003
"82",136,"(4)Brosimum utile, ft.sherman crane,dorothy, leaf defolded","SLZ","canopy","Moraceae","Rosales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",132.71,13.8,479.1,0.71,0.506,"","Brosimum utile",2000000018,9.280225,-79.975527,2000000003
"83",137,"no137-13jan30agnes1_1of2.csv","SLZ","canopy","Anacardiaceae","Sapindales","rosids","tree","RubiscoRuBp",10.95,21.54,43.64,3.38,"12","4","0",105.03,14.6,476,0.68,0.494,"Wright et al.","Tapirira guianensis",2000000018,9.280225,-79.975527,2000000003
"84",138,"no138-13jan30dorothy2.csv","SLZ","canopy","Combretaceae","Myrtales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",55.35,21.4,456.8,1.87,0.665,"Wright et al.","Terminalia amazonia",2000000018,9.280225,-79.975527,2000000003
"85",139,"no139-13jan30agnes1_2of2.csv","SLZ","canopy","Combretaceae","Myrtales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",66.24,23.1,462.6,1.62,0.665,"Wright et al.","Terminalia amazonia",2000000018,9.280225,-79.975527,2000000003
"86",140,"no140-13jan30cecilia2.csv","SLZ","canopy","Apocynaceae","Gentianales","asterids","tree","RubiscoRuBp",16.66,41.9,79.08,5.76,"11","4","0",126.56,17.4,493.5,0.67,0.777,"Chave et al. ","Aspidosperma megalocarpon",2000000018,9.280225,-79.975527,2000000003
"87",141,"no141-13jan30dorothy4.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu",25.62,76.32,116.51,7.54,"9","3","3",120.64,22.8,444.9,1.85,0.502,"Wright et al.","Sapium glandulosum",2000000018,9.280225,-79.975527,2000000003
"88",142,"no142-13jan30cecilia3.csv","SLZ","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBp",23.69,47.78,104.54,7.55,"10","3","0",101.72,21.7,428.4,1.62,0.315,"Wright et al.","Poulsenia armata",2000000018,9.280225,-79.975527,2000000003
"89",143,"no143-13jan30agnes5.csv","SLZ","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBpTpu",15.23,46.29,69.16,4.56,"8","4","3",99.12,21.8,479.4,0.94,0.635,"Wright et al.","Tocoyena pittieri",2000000018,9.280225,-79.975527,2000000003
"90",144,"no144-13jan30cecilia4.csv","SLZ","canopy","Fabaceae","Fabales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",109.29,19.7,497.5,1.1,0.648,"Wright et al.","Andira inermis",2000000018,9.280225,-79.975527,2000000003
"91",145,"Sapium Brossium,Dorothy,crane","SLZ","canopy","Fabaceae","Fabales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",139.8,14.49,461.3,0.64,0.414,"","Andira inermis",2000000018,9.280225,-79.975527,2000000003
"92",146,"no146-2013jan31brick1_1of2.csv","SLZ","canopy","Nyctaginaceae","Caryophyllales","core eudicots","tree","RubiscoRuBpTpu",13.69,48.01,58.79,3.86,"7","4","4",NA,40.3,436.3,1.99,NA,"","Neea sp.",2000000018,9.280225,-79.975527,2000000003
"93",147,"no147-2013jan31brick1_2of2.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu",12.54,34.57,53.71,3.53,"8","2","5",35.25,23.7,453.7,1.72,NA,"","Alchornea",2000000018,9.280225,-79.975527,2000000003
"94",148,"FESP03,Brick,11.00","SLZ","ground","Piperaceae","Piperales","magnoliids","tree","",NA,NA,NA,NA,"NA","NA","NA",37.14,31.61,409.2,1.81,NA,"","Piper reticulatum",2000000018,9.280225,-79.975527,2000000003
"95",149,"FESP04,brick,12.20","SLZ","ground","unknown","unknown","unknown","tree","",NA,NA,NA,NA,"NA","NA","NA",32.17,45.07,420.5,1.73,NA,"","Unknown",2000000018,9.280225,-79.975527,2000000003
"96",150,"F.S.Crane,Aci-Agnes,CAGU","SLZ","canopy","Meliaceae","Sapindales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",114.02,15.2,478,0.87,0.53,"","Carapa guianensis",2000000018,9.280225,-79.975527,2000000003
"97",152,"no152-13jan31agnes2.csv","SLZ","canopy","unknown","unknown","unknown","tree","RubiscoRuBp",14.35,28.09,54.85,4.18,"11","3","0",128.45,21.1,452,1.07,NA,"","Unknown",2000000018,9.280225,-79.975527,2000000003
