Species,ksat,kl,P50,ax,Lat,Long,Ref,SLA,WD
myrsine guianensis,2,0.000384,-2.12,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.52
styrax ferrugineus,2.59,0.000487,-3.35,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.49
styrax pohlii,3.45,0.00069,-2,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.54
symplocos lanceolata,1.62,0.000417,-1.5,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.38
symplocos mosenii,4.78,0.000856,-1.6,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.48
anacardium excelsum,1.1,0.0051,-1.45,NaN,8.98561944,-79.54694444,Johnson et al. 2013,10.83926914,0.43
bursera simaruba,NaN,0.00059,-0.9,38,9.166666667,-79.846036,Lopez et al. 2005,15.31087462,0.305
carapa guianensis,NaN,3.46E-05,-0.8,25.33333333,9.166666667,-79.846036,Lopez et al. 2005,NaN,0.53
cordia alliodora,NaN,0.000658,-3.2,58.46153846,9.166666667,-79.846036,Lopez et al. 2005,NaN,0.520307692
ficus citrifolia,NaN,0.000162,-1.6,63.33333333,9.166666667,-79.846036,Lopez et al. 2005,NaN,0.4
prioria copaifera,NaN,6.3E-05,-1.6,34.54545455,9.166666667,-79.846036,Lopez et al. 2005,NaN,0.413571429
ochroma pyramidale,2.1,0.00114,-1,95,9.166666667,-79.846036,Machado & Tyree 1994,NaN,0.19
pseudobombax septenatum,1.6,0.000515,-1,95,9.166666667,-79.846036,Machado & Tyree 1994,7.762471166,0.25
anacardium excelsum,NaN,NaN,-1.56,NaN,9.166666667,-79.85,Meinzer et al. 2003,10.83926914,0.39
cordia alliodora,NaN,NaN,-3,NaN,9.166666667,-79.85,Meinzer et al. 2003,NaN,0.52
ficus insipida,NaN,NaN,-1.66,NaN,9.166666667,-79.85,Meinzer et al. 2003,NaN,0.29
schefflera morototoni,NaN,NaN,-1.68,NaN,9.166666667,-79.85,Meinzer et al. 2003,NaN,0.28
aspidosperma cruenta,1.556485,NaN,NaN,NaN,9.2833,-79.975,Meinzer et al. 2008,NaN,NaN
chrysophyllum cainito,NaN,NaN,-2.1,NaN,9.166666667,-79.85,Meinzer et al. 2008,NaN,0.655
ficus insipida,NaN,NaN,-1.9,NaN,9.166666667,-79.85,Meinzer et al. 2008,NaN,0.376555556
luehea seemannii,8.761506,NaN,NaN,NaN,9.1667,-79.85,Meinzer et al. 2008,9.66050879,0.417
manilkara bidentata,NaN,NaN,-2.7,NaN,9.283333333,-79.975,Meinzer et al. 2008,NaN,0.872933333
protium panamense,NaN,NaN,-1.7,NaN,9.283333333,-79.975,Meinzer et al. 2008,NaN,0.452333333
tachigali versicolor,NaN,NaN,-1.6,NaN,9.283333333,-79.975,Meinzer et al. 2008,NaN,0.521
tapirira guianensis,NaN,NaN,-1.8,NaN,9.283333333,-79.975,Meinzer et al. 2008,NaN,0.457
trattinnickia aspera,NaN,NaN,-1.1,NaN,9.283333333,-79.975,Meinzer et al. 2008,NaN,0.424
vochysia ferruginea,NaN,NaN,-1,NaN,9.283333333,-79.975,Meinzer et al. 2008,NaN,0.410166667
amphipterygium adstringens,5.36,NaN,-0.96,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.48
apoplanesia paniculata,0.99,NaN,-4.61,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.56
bursera heteresthes,10.24,NaN,-1.36,NaN,19.5,-105.05,Mendez-Alonzo et al. 2012,NaN,0.4
