"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
51999,782,1226,2434,"Observations",1992-06-09 04:00:00,NA,NA,43730,16.01,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,16.01,NA
52009,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,16613,16.28,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,16.28,NA
52014,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,857,16.36,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,16.36,NA
52019,782,1226,2434,"Observations",1990-11-06 04:00:00,NA,NA,49256,16.74,NA,NA,NA,"SLA",11,-65.74,18.31,TRUE,FALSE,16.74,NA
52024,782,1226,2434,"Observations",1992-07-07 04:00:00,NA,NA,1364,16.77,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,16.77,NA
52029,782,1226,2434,"Observations",1993-08-21 04:00:00,NA,NA,10766,17.1,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,17.1,NA
52034,782,1226,2434,"Observations",1992-08-03 04:00:00,NA,NA,363,17.36,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,17.36,NA
52044,782,1226,2434,"Observations",1990-08-31 04:00:00,NA,NA,912,17.62,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,17.62,NA
52049,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,621,17.63,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,17.63,NA
52054,782,1226,2434,"Observations",1990-08-27 04:00:00,NA,NA,381,17.93,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,17.93,NA
52064,782,1226,2434,"Observations",1990-11-08 04:00:00,NA,NA,48095,18.02,NA,NA,NA,"SLA",11,-65.74,18.31,TRUE,FALSE,18.02,NA
52069,782,1226,2434,"Observations",1992-07-01 04:00:00,NA,NA,3229,18.15,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,18.15,NA
52074,782,1226,2434,"Observations",1992-07-06 04:00:00,NA,NA,530,18.19,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,18.19,NA
52079,782,1226,2434,"Observations",1992-06-09 04:00:00,NA,NA,51205,18.43,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,18.43,NA
52084,782,1226,2434,"Observations",1993-08-12 04:00:00,NA,NA,305,18.48,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,18.48,NA
52094,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,24238,18.56,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,18.56,NA
52099,782,1226,2434,"Observations",1992-06-09 04:00:00,NA,NA,25386,18.63,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,18.63,NA
52104,782,1226,2434,"Observations",1992-06-15 04:00:00,NA,NA,5793,18.94,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,18.94,NA
52109,782,1226,2434,"Observations",1992-07-06 04:00:00,NA,NA,32420,19.05,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,19.05,NA
52114,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,72,19.18,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,19.18,NA
52119,782,1226,2434,"Observations",1992-07-15 04:00:00,NA,NA,8751,19.21,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,19.21,NA
52124,782,1226,2434,"Observations",1992-06-09 04:00:00,NA,NA,51206,19.69,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,19.69,NA
52129,782,1226,2434,"Observations",1991-06-11 04:00:00,NA,NA,45516,19.74,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,19.74,NA
52134,782,1226,2434,"Observations",1992-06-05 04:00:00,NA,NA,3170,19.79,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,19.79,NA
52139,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,693,19.84,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,19.84,NA
52144,782,1226,2434,"Observations",1993-05-10 04:00:00,NA,NA,13405,20.03,NA,NA,NA,"SLA",5,-65.74,18.31,TRUE,FALSE,20.03,NA
52149,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,28934,20.1,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,20.1,NA
52154,782,1226,2434,"Observations",1992-07-06 04:00:00,NA,NA,31114,20.14,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,20.14,NA
52159,782,1226,2434,"Observations",1992-07-08 04:00:00,NA,NA,51207,20.15,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,20.15,NA
52169,782,1226,2434,"Observations",1992-07-23 04:00:00,NA,NA,5781,20.65,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,20.65,NA
52174,782,1226,2434,"Observations",1992-06-12 04:00:00,NA,NA,5875,20.67,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,20.67,NA
52179,782,1226,2434,"Observations",1992-07-08 04:00:00,NA,NA,31309,20.83,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,20.83,NA
52184,782,1226,2434,"Observations",1992-06-05 04:00:00,NA,NA,41584,21.25,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,21.25,NA
52189,782,1226,2434,"Observations",1991-02-26 04:00:00,NA,NA,35058,21.36,NA,NA,NA,"SLA",2,-65.74,18.31,TRUE,FALSE,21.36,NA
52194,782,1226,2434,"Observations",1992-07-08 04:00:00,NA,NA,42706,21.51,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,21.51,NA
52199,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,280,21.82,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,21.82,NA
52204,782,1226,2434,"Observations",1992-07-30 04:00:00,NA,NA,51208,22.39,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,22.39,NA
52209,782,1226,2434,"Observations",1995-02-08 04:00:00,NA,NA,9248,22.47,NA,NA,NA,"SLA",2,-65.74,18.31,TRUE,FALSE,22.47,NA
52214,782,1226,2434,"Observations",1993-03-11 04:00:00,NA,NA,25655,22.56,NA,NA,NA,"SLA",3,-65.74,18.31,TRUE,FALSE,22.56,NA
52219,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,704,23.08,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,23.08,NA
52224,782,1226,2434,"Observations",1990-08-31 04:00:00,NA,NA,35050,23.8,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,23.8,NA
52229,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,4190,23.83,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,23.83,NA
52234,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,31837,24.21,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,24.21,NA
52239,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,880,24.64,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,24.64,NA
52244,782,1226,2434,"Observations",2001-11-15 04:00:00,NA,NA,15328,24.64,NA,NA,NA,"SLA",11,-65.74,18.31,TRUE,FALSE,24.64,NA
52249,782,1226,2434,"Observations",1992-01-28 04:00:00,NA,NA,1116,24.7,NA,NA,NA,"SLA",1,-65.74,18.31,TRUE,FALSE,24.7,NA
52254,782,1226,2434,"Observations",1990-08-31 04:00:00,NA,NA,22762,24.83,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,24.83,NA
52259,782,1226,2434,"Observations",1992-06-12 04:00:00,NA,NA,1354,24.96,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,24.96,NA
52264,782,1226,2434,"Observations",1991-11-13 04:00:00,NA,NA,51209,24.98,NA,NA,NA,"SLA",11,-65.74,18.31,TRUE,FALSE,24.98,NA
52269,782,1226,2434,"Observations",2001-06-20 04:00:00,NA,NA,7532,25.02,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,25.02,NA
52274,782,1226,2434,"Observations",1990-11-07 04:00:00,NA,NA,5606,25.53,NA,NA,NA,"SLA",11,-65.74,18.31,TRUE,FALSE,25.53,NA
52279,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,2148,25.81,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,25.81,NA
52284,782,1226,2434,"Observations",1992-06-05 04:00:00,NA,NA,24333,26.36,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,26.36,NA
52289,782,1226,2434,"Observations",1993-08-10 04:00:00,NA,NA,1329,26.5,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,26.5,NA
52294,782,1226,2434,"Observations",1993-07-16 04:00:00,NA,NA,38575,27.04,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,27.04,NA
52299,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,51210,27.13,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,27.13,NA
52304,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,32860,27.19,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,27.19,NA
52309,782,1226,2434,"Observations",1993-06-28 04:00:00,NA,NA,51211,27.33,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,27.33,NA
52314,782,1226,2434,"Observations",1992-07-16 04:00:00,NA,NA,51215,27.61,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,27.61,NA
52319,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,622,27.67,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,27.67,NA
52324,782,1226,2434,"Observations",1991-04-04 04:00:00,NA,NA,32491,27.9,NA,NA,NA,"SLA",4,-65.74,18.31,TRUE,FALSE,27.9,NA
52334,782,1226,2434,"Observations",1990-08-23 04:00:00,NA,NA,26318,29.38,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,29.38,NA
52339,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,17967,29.5,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,29.5,NA
52344,782,1226,2434,"Observations",1992-06-12 04:00:00,NA,NA,3147,30.28,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,30.28,NA
52349,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,51212,30.42,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,30.42,NA
52354,782,1226,2434,"Observations",1992-06-05 04:00:00,NA,NA,24369,30.84,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,30.84,NA
52359,782,1226,2434,"Observations",1991-04-10 04:00:00,NA,NA,5630,32.21,NA,NA,NA,"SLA",4,-65.74,18.31,TRUE,FALSE,32.21,NA
52364,782,1226,2434,"Observations",1993-07-07 04:00:00,NA,NA,15964,34.35,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,34.35,NA
52369,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,1022,35.28,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,35.28,NA
