"","lat","lon","Climate_Koeppen_Geiger_classification","Climate_PFT_Biome_equivalent_Poulter","SRA","species","species_id","citation_id"
"132",6.083333333,116.55,"Af","tropical",339.5,"Magnolia carsonii",1000021024,1000000174
"133",6.083333333,116.55,"Af","tropical",245.4,"Cinnamomum subcuneatum",1000021014,1000000174
"134",6.083333333,116.55,"Af","tropical",214.1,"Cinnamomum subcuneatum",1000021014,1000000174
"135",6.083333333,116.55,"Af","tropical",326.8,"Cinnamomum subcuneatum",1000021014,1000000174
"136",6.083333333,116.55,"Af","tropical",260.3,"Cinnamomum subcuneatum",1000021014,1000000174
"137",6.083333333,116.55,"Af","tropical",285.3,"Cinnamomum subcuneatum",1000021014,1000000174
"138",6.083333333,116.55,"Af","tropical",345.6,"Syzygium napiforme",1000021031,1000000174
"139",6.083333333,116.55,"Af","tropical",259.5,"Syzygium napiforme",1000021031,1000000174
"140",6.083333333,116.55,"Af","tropical",295.8,"Syzygium napiforme",1000021031,1000000174
"141",6.083333333,116.55,"Af","tropical",323.6,"Syzygium napiforme",1000021031,1000000174
"142",6.083333333,116.55,"Af","tropical",117.5,"Litsea ochracea",1000021022,1000000174
"143",6.083333333,116.55,"Af","tropical",158.5,"Litsea ochracea",1000021022,1000000174
"144",6.083333333,116.55,"Af","tropical",138.2,"Litsea ochracea",1000021022,1000000174
"145",6.083333333,116.55,"Af","tropical",154.6,"Litsea ochracea",1000021022,1000000174
"146",6.083333333,116.55,"Af","tropical",300.6,"Syzygium kunstleri",1000021030,1000000174
"147",6.083333333,116.55,"Af","tropical",260.6,"Syzygium kunstleri",1000021030,1000000174
"148",6.083333333,116.55,"Af","tropical",290.1,"Syzygium kunstleri",1000021030,1000000174
"149",6.083333333,116.55,"Af","tropical",367.9,"Syzygium kunstleri",1000021030,1000000174
