"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case","use","proposed_bety_name","reviewed","bety_name"
"47","Faramea occidentalis",31837,TRUE,"Faramea occidentalis",31837,TRUE,"iPlant_TNRS",1,"(L.) A. Rich.","http://www.tropicos.org/Name/27902704",1,"submit","Faramea occidentalis",TRUE,"Faramea occidentalis"
"48","Ficus citrifolia",33851,TRUE,"Ficus citrifolia",33851,TRUE,"iPlant_TNRS",1,"Mill.","http://www.tropicos.org/Name/21300460",1,"submit","Ficus citrifolia",TRUE,"Ficus citrifolia"
"49","Ficus insipida",1000005277,TRUE,"Ficus insipida",1000005277,TRUE,"iPlant_TNRS",1,"Willd.","http://www.tropicos.org/Name/21300606",1,"submit","Ficus insipida",TRUE,"Ficus insipida"
"50","Gliricidia sepium",605,TRUE,"Gliricidia sepium",605,TRUE,"iPlant_TNRS",1,"(Jacq.) Kunth ex Walp.","http://www.tropicos.org/Name/13048407",1,"submit","Gliricidia sepium",TRUE,"Gliricidia sepium"
"51","Guapira noxia",1000005697,TRUE,"Guapira noxia",1000005697,TRUE,"iPlant_TNRS",1,"(Netto) Lundell","http://www.tropicos.org/Name/22500694",1,"submit","Guapira noxia",TRUE,"Guapira noxia"
"52","Guarea guidonia",622,TRUE,"Guarea guidonia",622,TRUE,"iPlant_TNRS",1,"(L.) Sleumer","http://www.tropicos.org/Name/20400341",1,"submit","Guarea guidonia",TRUE,"Guarea guidonia"
"53","Guatteria dumetorum",1000005776,TRUE,"Guatteria dumetorum",1000005776,TRUE,"iPlant_TNRS",1,"R.E. Fr.","http://www.tropicos.org/Name/1600214",1,"submit","Guatteria dumetorum",TRUE,"Guatteria dumetorum"
"54","Guazuma ulmifolia",5630,TRUE,"Guazuma ulmifolia",5630,TRUE,"iPlant_TNRS",1,"Lam.","http://www.tropicos.org/Name/30400486",1,"submit","Guazuma ulmifolia",TRUE,"Guazuma ulmifolia"
"55","Gustavia superba",1000005920,TRUE,"Gustavia superba",1000005920,TRUE,"iPlant_TNRS",1,"(Kunth) O. Berg","http://www.tropicos.org/Name/17900010",1,"submit","Gustavia superba",TRUE,"Gustavia superba"
"56","Hedyosmum goudotianum",1000006069,TRUE,"Hedyosmum goudotianum",1000006069,TRUE,"iPlant_TNRS",1,"Solms","http://www.tropicos.org/Name/7300013",1,"submit","Hedyosmum goudotianum",TRUE,"Hedyosmum goudotianum"
