"","studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"53","Kawahara1981","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"54","Kawanabe1977","","","?","?","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"55","Kelly0000a","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","?","m3","","","","?","","","","","","","","","","","","","ax1,1","","","","","","","","","","",""
"56","Kelly0000b","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","","?","","?","","f","","m3","","","","m3","m3","","m3","m3","m3","m3","","","","","","","","","","","",""
"57","Kenzo2009","","l4","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"d1,f","d3","","","m3,x1","","","","m4,x1","","","m4,x1","m4,x1","m4,x1","","","m3,x1","?","","","","m3","m3","","","m3","m3"
"58","Kenzo2009b","","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"d1,f","d3","","","m3,x1","","","","m4,x1","","m4,x1","","","m4,x1","","","m3,x1","?","","","","","","","","",""
"59","King1994","","l2","","a3","","","","","","",NA,"",NA,"","","","","","d7,p3","","","","","","m3,x1","","","","x8","","","","","","","a3","","","","","","","","","","",""
"60","King1996","","","","","","","","","","",NA,"",NA,"","","","","","p4","d6","d4,v3,x1","","f,d1,f","d8","","","","","","","","","","","","","","","","","","","","","","",""
"61","Kitazawa1959","","","","e1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx,x1","","","","","mx,x1","","","","","","","","","","","","","","","","",""
"62","Kohyama0000","","","","","","","","","","",NA,"",NA,"","","","","","?","","","","?","","m4","","","","m4","","","","","m4","","","","","","","","","","","","",""
"63","Kohyama1987","","","","e1","","","","","","",NA,"",NA,"","","","","","?","?","",NA,"f","","m4,x6","","","","m4","","m4","","","","","","","","","","","","","","","",""
"64","Kohyama1990","","","","e1","","","","","","",NA,"",NA,"","","","f","","?","?","",NA,"","","m4,x6","","","","m4","m4","m4","","","","","","m4,a1,x1","","","","","","","","","",""
"65","Kohyama1994","","","","a1,a4","","","","","","",NA,"",NA,"","","","","","?","","","","?","","m4,x6","","","","m4","","","","","m4","","","m4,a1,x6","","","","","","","","","",""
"66","Komiyama2002","","","","e1,x1","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"67","Komiyama2003","","","?","","","","","","","",NA,"",NA,"","","?","","","?","?","?","d3","","","","","","","","m4","","","","m4","m4","","","","","","","","","","","",""
"68","leMaire2011","k3","?","k1","e1","d1","","","","","",NA,"",NA,"","v3","","","","x6","x6","","","v6","","m3,x6,x1","","","","","","m3","","","","","","m3,x1","j,k3","","","","","","","","",""
"69","Lewis2013","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","","","","","","","","m3","","","","m3","","","","","m3","","","?","","","","","","","","","",""
"70","Lusk0000a","","","","?","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"71","Lusk0000b","","","","?","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"72","Lusk2002","","","","a1,x6","","","","","","",NA,"",NA,"","","","?","?","?","?","?","","","","m3,x6","","","","mx","","","","","mx","","","","","","","","","","","","",""
"73","Lusk2004","","","","a1,x6","","","","","","",NA,"",NA,"","","","?","?","?","?","?","","","","m3,x6","","","","mx","","","","","mx","","","","","","","","","","","","",""
"74","Lusk2011","","","","a1,x6","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","m3,x6","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"75","Lusk2012","","","","a4","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","m3,x6","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"76","Lusk2013","","","","?","","","","","","",NA,"",NA,"","","","?","?","?","?","d1,f","","","","mx","","","","mx","","","","","mx","","?","","","","","","","","","","",""
"77","Maguire1998","","","?","a4,k4","","","","","","",NA,"",NA,"","?","","?","?","?","?","","?","?","","m3,x1,k4","","","","?","","?","","","","","","","","","","","","","","","",""
"78","Markesteijn2009","","l6","","e1","","","","","","",NA,"",NA,"d4","","d6","","","","d6","","","","","m3,x1","","","","m3","m3","m3","m3","m3","m3","m3","x1","m3,a1,x6","v1,v5","","","","","","","","",""
"79","Martin1998","","","?","e1","","j","","","","",NA,"",NA,"","","","","","?","","","?","","","m3,x1","m3","m3","m3","m3","m3","","","","","","","m3,a1,x1","?","","","","?","?","?","?","",""
"80","McCulloh2010","","","","a1,a4,e1,x1","d2,j","","","","","",NA,"",NA,"","","","","","d7","","d2,j","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","Mokany2003","","","n1","e1,k4","j","","","a2","","",NA,"",NA,"v3","","","","","c,d7,p3","c,d7,p3","","","","","m4,x6","","","","","","","","","","","","","","","","","","","","","",""
"82","Monserud1999","","","?","a4,e1","","?","?","","","",NA,"",NA,"","?","","?","?","?","?","","?","?","","m3,x1","","","","?","","?","","","","","","","","","","","","","","","",""
"83","Mori1979","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"84","Mori1991","","","","e1,a4","","","","","","",NA,"",NA,"","","","f","","?","","","?","?","","m5,x1","","","","mx","","mx","","","mx","","","","","","","","","","","","",""
"85","Morisawa1957","","","","e1,x2","","","","","","",NA,"",NA,"","","","?","","?","?","","d3","","","x2,m3","","","","","","","","","","","","","","","","","","","","","",""
"86","Muro2006","","","","","","","","","","",NA,"",NA,"","","","","","","","","d3","","","","","","","","","","","","m4","","","","","","","","","","","","",""
"87","Myster2009","","","","a1","","","","","","",NA,"",NA,"","","","","","?","","","","","","m1","","","","m1","","","","","m1","","","","","","","","","","","","",""
"88","Naidu1998","","","","","","?","?","","","",NA,"",NA,"","","","","","?","","","d3","","","m3,x1","j","","","j","?","j","","","?","?","","","","","","","","","","","",""
"89","Nakagaki1983","","","?","e1,a4","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"90","Nishioka1982","","","","e1,a4,x1","","","","","","",NA,"",NA,"","","?","","","?","?","?","d3","","","m4,x1","","","","e2,m4,j","m4","e2,m4","","","","","","","","","","","","","","","",""
"91","Nouvellon2010","?","?","?","e1","","","","","","",NA,"",NA,"","?","","","","?","?","","","","","m3,x1","","","m3","m3","","m3","","","","","x1","m3,x1","","","","","","","","","",""
"92","OGrady2000","","","","l1","","","","","","",NA,"",NA,"","","","","","","","","d3","","","mx","","","","mx","mx","","","","","","","","","","","","","","","","",""
"93","OGrady2006","","","","a1,x1,e1","?","?","","","","",NA,"",NA,"","","","","","?","","?","?","","","m3,x1","","","","m3","","m3","m3","m3","","","","","","","","","","","","","",""
"94","OHara1995","","","","e1,a5","","j","","","","",NA,"",NA,"","","","","","c,d7,p3","c,d7,p3","","c,d7,p3","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","OHara2014","","","","a1,e1,a4","j","j","j","","","",NA,"",NA,"j","","","","","c,d7,p3","c,d7,p3","c,d7,p3","c,d7,p3","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","Ohtsuka2005","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","","","","","j,e2,m4","","m4","","","m4","","","","","","","","","","","","",""
"97","Osada0000","?","l5","","?","","","","","","",NA,"",NA,"","","","?","","?","","?","?","","?","?","","","","?","","","","","","","?","?","","","","","","","","","",""
"98","Osada2003","?","l5","","a1,x1","","","","","","",NA,"",NA,"","","","?","","?","","?","?","","?","m3,x1","","","","?","","","","","","","a1","m3,a1,x1","","","","","","","","","",""
"99","Osada2005","?","l5","","a1,x1,e1","","","","","","",NA,"",NA,"","","","f","","?","","?","?","","?","m3,x1","","","","?","","","","","","","a1,x1","?","","","","","","","","","",""
"100","Osunkoya2007","","","","","","","","","","",NA,"",NA,"","","","f","","p4","","","d3","f","?","","","","","","","","","","","","","","","","","","","","","","",""
"101","Parviainen1999","","","n1","","","","","","","",NA,"",NA,"","","","","","c,d7,p3","c,d7,p3","","d3","f","","k4,m3","","","","v1,j","","k4,m3","","","","","","","","","","","","","","","",""
