"","X","ksat","kl","P50","ax","SLA","WD","species","citation_id","site_id"
"81",81,"1.12","0.000125","-3.1","NA","NA","NA","Gnetum costatum",1000000121,1000025742
"82",82,"1.1","0.000127","-4.620333333","NA","NA","0.61","Gnetum gnemon",1000000121,1000025742
"83",83,"9.2","0.00041","NA","NA","NA","NA","Hibiscus",1000000121,1000025742
"84",84,"3.87","0.00032","NA","NA","NA","NA","Homalanthus novoguineensis",1000000121,1000025742
"85",85,"1.45455","0.000188","NA","NA","NA","NA","Horsfieldia",1000000121,1000025742
"86",86,"8.2","0.0004445","NA","NA","NA","0.428666667","Kleinhovia hospita",1000000121,1000025742
"87",87,"0.45","0.000125","NA","NA","NA","0.476875","Podocarpus neriifolius",1000000121,1000025742
"88",88,"5.87","0.00024","NA","NA","10.47128548","0.345333333","Trema orientalis",1000000121,1000025742
"89",89,"7.66942","0.000297","NA","NA","NA","NA","Trichospermum pleiostigma",1000000121,1000025742
"90",90,"0.23","0.00062","NA","NA","NA","NA","Ardisia palmana",1000000075,1000025743
"91",91,"0.12","0.00013","NA","NA","3.801893963","NA","Clusia stenophylla",1000000075,1000025743
"92",92,"0.39","0.00041","NA","NA","NA","NA","Cosmibuena valerioi",1000000075,1000025743
"93",93,"0.64","0.00062","NA","NA","NA","NA","Dendropanax latilobus",1000000075,1000025743
"94",94,"0.39","0.00033","NA","NA","NA","NA","Drimys granadensis",1000000075,1000025743
"95",95,"0.51","0.00045","NA","NA","NA","NA","Miconia",1000000075,1000025743
"96",96,"0.48","0.00026","NA","NA","NA","NA","Oreopanax nubigenus",1000000075,1000025743
"97",97,"0.65","0.00063","NA","NA","NA","NA","Schefflera pittieri",1000000075,1000025743
"98",98,"1.7","NA","NA","NA","NA","0.7","Caesalpinia eriostachys",1000000076,1000000346
"99",99,"0.9","NA","NA","NA","NA","0.56","Capparis indica",1000000076,1000000346
"100",100,"3","NA","NA","NA","NA","0.31","Cnidoscolus spinosus",1000000076,1000000346
"101",101,"2.9","NA","NA","NA","NA","0.59","Cordia alliodora",1000000076,1000000346
"102",102,"1.7","NA","NA","NA","NA","0.475","Guapira",1000000076,1000000346
"103",103,"5.5","NA","NA","NA","NA","0.47","Heliocarpus pallidus",1000000076,1000000346
"104",104,"2.2","NA","NA","NA","NA","0.605","Ipomoea wolcottiana",1000000076,1000000346
"105",105,"1.1","NA","NA","NA","NA","0.725","Psidium sartorianum",1000000076,1000000346
"106",106,"2.4","NA","NA","NA","NA","0.625","Ruprechtia fusca",1000000076,1000000346
"107",107,"2.9","NA","NA","NA","NA","0.39","Spondias purpurea",1000000076,1000000346
"108",108,"NA","NA","-1.64","50.66666667","NA","0.454669","Drimys granadensis",1000000123,1000026735
"109",109,"NA","NA","-4.68","28.78787879","NA","0.554086","Drimys insipida",1000000123,1000026739
"110",110,"NA","NA","-2.3","NA","6.27335696","0.415","Drimys winteri",1000000123,1000026737
"111",111,"NA","NA","-3","35.51401869","NA","NA","Zygogynum baillonii",1000000123,1000026730
"112",112,"NA","NA","-2.3","40.86021505","NA","NA","Zygogynum bicolor",1000000123,1000026731
"113",113,"NA","NA","-5.2","39.58333333","NA","0.627626","Zygogynum pancheri",1000000123,1000026732
"114",114,"NA","NA","-3.45","39.17525773","NA","0.574514","Zygogynum pomiferum",1000000123,1000026733
"115",115,"NA","NA","-3.6","15.96638655","NA","NA","Zygogynum queenslandianum",1000000123,1000026736
"116",116,"NA","NA","-3.27","43.18181818","NA","0.408366","Zygogynum semecarpoides",1000000123,1000026718
"117",117,"4.73","0.001092","-3.1","NA","NA","0.53","Acinodendron pohlianum",1000000101,1000025739
"118",118,"2.94","0.000412","-2.8","NA","NA","0.56","Hymenaea martiana",1000000101,1000025739
"119",119,"3.59","0.000656","-3.17","NA","NA","0.72","Hymenaea stigonocarpa",1000000101,1000025739
"120",120,"5.37","0.000344","-3.4","NA","NA","0.74","Miconia cuspidata",1000000101,1000025739
"121",121,"NA","NA","-3.1","NA","NA","NA","Miconia pohliana",1000000101,1000025739
"122",122,"3.25","0.000434","-3.08","NA","NA","0.62","Myrsine ferruginea",1000000101,1000025739
"123",123,"2","0.000384","-2.12","NA","NA","0.52","Myrsine guianensis",1000000101,1000025739
"124",124,"2.59","0.000487","-3.35","NA","NA","0.49","Styrax ferrugineus",1000000101,1000025739
"125",125,"3.45","0.00069","-2","NA","NA","0.54","Styrax pohlii",1000000101,1000025739
"126",126,"1.62","0.000417","-1.5","NA","NA","0.38","Symplocos lanceolata",1000000101,1000025739
"127",127,"4.78","0.000856","-1.6","NA","NA","0.48","Symplocos mosenii",1000000101,1000025739
"128",128,"1.1","0.0051","-1.45","NA","10.83926914","0.43","Anacardium excelsum",1000000078,2000000002
"129",129,"NA","0.00059","-0.9","38","15.31087462","0.305","Bursera simaruba",1000000060,1000005005
"130",130,"NA","3.46e-05","-0.8","25.33333333","NA","0.53","Carapa guianensis",1000000060,1000005005
"131",131,"NA","0.000658","-3.2","58.46153846","NA","0.520307692","Cordia alliodora",1000000060,1000005005
