"","Ptlp","WD","SLA","Organ","Biome","citation_id","site_id","species_id"
"35",-1.4,"NA","NA","Leaf","Tropical rainforest",1000000027,1000000013,1000003446
"36",-2,"NA","NA","Leaf","Tropical rainforest",1000000027,1000005005,1000003460
"37",-2.83,"0.84","NA","Leaf","Tropical seasonal forest",1000000144,1000000346,49878
"38",-1.96,"0.668","NA","Leaf","Tropical seasonal forest",1000000144,1000000346,1000012191
"39",-3.48,"0.67","NA","Leaf","Tropical seasonal forest",1000000144,1000000346,1000021000
"40",-1.98,"0.8","NA","Leaf","Tropical seasonal forest",1000000144,1000000346,1000014855
"41",-1.29,"0.653","13.18256739","Leaf","Tropical seasonal forest",1000000145,1000026724,19251
"42",-2.62,"0.703","NA","Leaf","Tropical seasonal forest",1000000145,1000026724,1000020915
"43",-1.72,"0.64","NA","Leaf","Tropical seasonal forest",1000000145,1000026724,1000020918
"44",-2.32,"0.825","9.652509653","Leaf","Tropical seasonal forest",1000000101,1000025739,1000020868
"45",-0.86,"0.468","14.83679525","Leaf","Tropical rainforest",1000000146,1000026724,33804
"46",-1.23,"0.3815","10.68376068","Leaf","Tropical rainforest",1000000146,1000026724,1000005276
"47",-1.44,"0.3626","19.92031873","Leaf","Tropical rainforest",1000000146,1000026724,34006
"48",-1.13,"0.43","10.83926914","Leaf","Tropical rainforest",1000000078,2000000002,49943
"49",-1.73,"0.702","NA","Leaf","Tropical seasonal forest",1000000147,1000026745,1000020992
"50",-1.6,"0.157516429","NA","Leaf","Tropical seasonal forest",1000000061,1000005005,25655
"51",-1.28,"0.211666667","7.762471166","Leaf","Tropical seasonal forest",1000000061,1000005005,50836
"52",-1.595426667,"0.585142857","NA","Leaf","Tropical rainforest",1000000148,1000026746,1
"53",-2.017666667,"0.32","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000000741
"54",-1.743106667,"0.792","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000000971
"55",-2.1286,"1.053666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,201
"56",-1.96012,"1.053666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,201
"57",-2.306093333,"1.053666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,201
"58",-2.227746667,"1.053666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,201
"59",-1.6086,"1.053666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,201
"60",-2.24924,"1.053666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,201
"61",-2.08284,"1.053666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,201
"62",-2.279746667,"0.825142857","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000001679
"63",-1.744493333,"0.5638125","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000002189
"64",-2.0246,"0.5638125","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000002189
"65",-2.04124,"0.5638125","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000002189
"66",-1.8686,"0.5638125","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000002189
"67",-1.955266667,"0.5638125","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000002189
"68",-1.879693333,"0.653571429","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000002221
"69",-2.054413333,"0.82","NA","Leaf","Tropical rainforest",1000000148,1000026746,10766
"70",-1.4474,"0.6714","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000002737
"71",-1.69596,"0.54325","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003330
"72",-1.94972,"0.409","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003470
"73",-1.8686,"0.409","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003470
"74",-2.25548,"0.77","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003546
"75",-1.86756,"0.77","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003549
"76",-1.971906667,"0.505","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003597
"77",-1.751426667,"0.505","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003597
"78",-2.13484,"0.628","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000003899
"79",-1.511533333,"0.5912","NA","Leaf","Tropical rainforest",1000000148,1000026746,444
"80",-1.58468,"0.5912","NA","Leaf","Tropical rainforest",1000000148,1000026746,444
"81",-2.344226667,"0.5912","NA","Leaf","Tropical rainforest",1000000148,1000026746,444
"82",-1.661293333,"0.5912","NA","Leaf","Tropical rainforest",1000000148,1000026746,444
"83",-1.4578,"0.5912","NA","Leaf","Tropical rainforest",1000000148,1000026746,444
"84",-1.808973333,"0.73","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004345
"85",-1.60236,"0.73","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004345
"86",-2.31372,"0.736666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004540
"87",-1.930306667,"0.736666667","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004540
"88",-2.11196,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"89",-1.9102,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"90",-2.256866667,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"91",-1.987853333,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"92",-1.994093333,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"93",-2.031533333,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"94",-2.04956,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"95",-2.17852,"0.704","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004770
"96",-1.705666667,"0.852083333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004917
"97",-1.66476,"0.852083333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004917
"98",-2.028066667,"0.852083333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004917
"99",-1.71884,"0.852083333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004917
"100",-1.984386667,"0.852083333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004917
"101",-1.6814,"0.852083333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004917
"102",-2.014893333,"0.852083333","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004917
"103",-1.7542,"0.876","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000004923
"104",-1.780546667,"0.87","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000005867
"105",-1.996866667,"0.716","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000005909
"106",-1.958733333,"0.716","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000005909
"107",-2.014893333,"0.716","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000005909
"108",-1.750733333,"0.716","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000005909
"109",-1.917826667,"0.716","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000005909
"110",-2.26172,"0.716","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000005909
"111",-1.88628,"0.925","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000006310
"112",-1.442893333,"0.79235","NA","Leaf","Tropical rainforest",1000000148,1000026746,27020
