"","Ptlp","WD","SLA","Organ","Biome","lon","lat","species","citation_id"
"82",-1.661293333,0.5912,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Dicorynia guianensis",1000000148
"83",-1.4578,0.5912,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Dicorynia guianensis",1000000148
"84",-1.808973333,0.73,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Diospyros carbonaria",1000000148
"85",-1.60236,0.73,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Diospyros carbonaria",1000000148
"86",-2.31372,0.736666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Drypetes variabilis",1000000148
"87",-1.930306667,0.736666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Drypetes variabilis",1000000148
"88",-2.11196,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"89",-1.9102,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"90",-2.256866667,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"91",-1.987853333,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"92",-1.994093333,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"93",-2.031533333,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"94",-2.04956,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"95",-2.17852,0.704,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eperua grandiflora",1000000148
"96",-1.705666667,0.852083333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera coriacea",1000000148
"97",-1.66476,0.852083333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera coriacea",1000000148
"98",-2.028066667,0.852083333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera coriacea",1000000148
"99",-1.71884,0.852083333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera coriacea",1000000148
"100",-1.984386667,0.852083333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera coriacea",1000000148
"101",-1.6814,0.852083333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera coriacea",1000000148
"102",-2.014893333,0.852083333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera coriacea",1000000148
"103",-1.7542,0.876,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Eschweilera grandiflora",1000000148
"104",-1.780546667,0.87,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Guettarda acreana",1000000148
"105",-1.996866667,0.716,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Gustavia hexapetala",1000000148
"106",-1.958733333,0.716,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Gustavia hexapetala",1000000148
"107",-2.014893333,0.716,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Gustavia hexapetala",1000000148
"108",-1.750733333,0.716,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Gustavia hexapetala",1000000148
"109",-1.917826667,0.716,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Gustavia hexapetala",1000000148
"110",-2.26172,0.716,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Gustavia hexapetala",1000000148
"111",-1.88628,0.925,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Hirtella glandulosa",1000000148
"112",-1.442893333,0.79235,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Hymenaea courbaril",1000000148
"113",-1.83012,0.572,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Iryanthera sagotiana",1000000148
"114",-1.744493333,0.86,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis persistens",1000000148
"115",-1.925453333,0.86,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis persistens",1000000148
"116",-2.056493333,0.86,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis persistens",1000000148
"117",-2.030146667,0.86,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis persistens",1000000148
"118",-1.99964,0.86,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis persistens",1000000148
"119",-1.946946667,0.86,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis persistens",1000000148
"120",-1.944866667,0.86,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis persistens",1000000148
"121",-2.19724,0.802,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis poiteaui",1000000148
"122",-2.586893333,0.802,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis poiteaui",1000000148
"123",-2.643053333,0.802,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis poiteaui",1000000148
"124",-3.145026667,0.802,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis poiteaui",1000000148
"125",-2.333133333,0.802,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Lecythis poiteaui",1000000148
"126",-2.025986667,0.8874,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania alba",1000000148
"127",-1.901186667,0.8874,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania alba",1000000148
"128",-1.7438,0.8874,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania alba",1000000148
"129",-2.19932,0.8874,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania alba",1000000148
"130",-2.077293333,0.8874,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania alba",1000000148
"131",-2.138306667,0.8874,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania alba",1000000148
"132",-2.2222,0.8874,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania alba",1000000148
"133",-2.123053333,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"134",-2.06828,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"135",-1.951106667,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"136",-2.016973333,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"137",-1.69804,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"138",-2.32828,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"139",-1.994786667,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"140",-2.202093333,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania canescens",1000000148
"141",-2.1598,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania membranacea",1000000148
"142",-2.262413333,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania membranacea",1000000148
"143",-2.102253333,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania membranacea",1000000148
"144",-1.973293333,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania membranacea",1000000148
"145",-2.79316,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania membranacea",1000000148
"146",-2.143853333,0.88,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licania membranacea",1000000148
"147",-2.435053333,0.7475,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Licaria guianensis",1000000148
"148",-2.36364,0.921363636,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Manilkara huberi",1000000148
"149",-2.13276,0.921363636,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Manilkara huberi",1000000148
"150",-1.611373333,0.786714286,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Minquartia guianensis",1000000148
"151",-1.90604,0.62,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Neea floribunda",1000000148
"152",-1.722306667,0.519,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Ocotea percurrens",1000000148
"153",-1.817293333,0.56,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Perebea guianensis",1000000148
"154",-1.688333333,0.395,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Pourouma tomentosa",1000000148
"155",-1.926146667,0.942333333,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Pouteria cladantha",1000000148
"156",-2.19932,0.964,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Pouteria filipes",1000000148
"157",-1.8998,0.57,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium opacum",1000000148
"158",-1.927533333,0.57,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium opacum",1000000148
"159",-2.1182,0.57,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium opacum",1000000148
"160",-2.23052,0.5575,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium sagotianum",1000000148
"161",-2.27628,0.5575,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium sagotianum",1000000148
"162",-2.32828,0.5575,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium sagotianum",1000000148
"163",-2.312333333,0.5575,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium sagotianum",1000000148
"164",-2.34076,0.685,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium trifoliolatum",1000000148
"165",-2.283213333,0.685,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Protium trifoliolatum",1000000148
"166",-1.77916,0.5796,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Qualea rosea",1000000148
"167",-2.041933333,0.8165,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Talisia microphylla",1000000148
"168",-1.915053333,0.7205,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Tapura capitulifera",1000000148
"169",-1.950413333,0.7205,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Tapura capitulifera",1000000148
"170",-1.661293333,0.7205,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Tapura capitulifera",1000000148
"171",-1.657133333,0.47,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Theobroma subincanum",1000000148
"172",-2.04332,0.47,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Theobroma subincanum",1000000148
"173",-1.738946667,0.47,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Theobroma subincanum",1000000148
"174",-2.109186667,0.47,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Theobroma subincanum",1000000148
"175",-1.520546667,0.605,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Unonopsis rufescens",1000000148
"176",-1.992013333,0.605,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Unonopsis rufescens",1000000148
"177",-1.957346667,0.605,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Unonopsis rufescens",1000000148
"178",-1.761826667,0.57,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Vataireopsis surinamensis",1000000148
"179",-1.838093333,0.470125,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Virola michelii",1000000148
"180",-1.644653333,0.470125,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Virola michelii",1000000148
"181",-2.499533333,0.793625,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Vouacapoua americana",1000000148
"182",-2.048866667,0.793625,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Vouacapoua americana",1000000148
"183",-2.104333333,0.793625,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Vouacapoua americana",1000000148
"184",-2.063426667,0.793625,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Vouacapoua americana",1000000148
"185",-1.907426667,0.793625,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Vouacapoua americana",1000000148
"186",-2.256866667,0.793625,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Vouacapoua americana",1000000148
"187",-0.995,0.384560171,10.78134125,"Leaf","Tropical rainforest",-79,9,"Anacardium excelsum",1000000149
"188",-1.81,0.541821562,NA,"Leaf","Tropical rainforest",-79,9,"Miconia argentea",1000000149
"189",-2.782178,0.74,NA,"Leaf","Tropical rainforest",-80.001385,9.322863,"Aspidosperma cruenta",1000000102
"190",-2.900261354,0.66,NA,"Leaf","Tropical rainforest",-79.54694444,8.98561944,"Chrysophllum cainito",1000000102
"191",-2.038259321,0.4,NA,"Leaf","Tropical rainforest",-79.54694444,8.98561944,"Ficus insipida",1000000102
"192",-3.051426366,0.67,NA,"Leaf","Tropical rainforest",-80.001385,9.322863,"Manilkara bidentata",1000000102
"193",-2.662673758,0.62,NA,"Leaf","Tropical rainforest",-80.001385,9.322863,"Protium panamense",1000000102
"194",-2.341414674,0.64,NA,"Leaf","Tropical rainforest",-80.001385,9.322863,"Tachigalia versicolor",1000000102
"195",-2.188606647,0.5,NA,"Leaf","Tropical rainforest",-80.001385,9.322863,"Tapirira guianensis",1000000102
"196",-2.53675004,0.57,NA,"Leaf","Tropical rainforest",-80.001385,9.322863,"Trattinnickia aspera",1000000102
