"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"109",109,"SENNA DARIENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"110",110,"SIMAROUBA AMARA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"111",111,"SIMAROUBA GLAUCA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"112",112,"SPONDIAS PURPUREA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"113",113,"STYRAX FERRUGINEUS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"114",114,"STYRAX POHLII",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"115",115,"SWIETENIA MACROPHYLLA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"116",116,"SYMPLOCOS LANCEOLATA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"117",117,"SYMPLOCOS MOSENII",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"118",118,"SYZYGIUM CUMINI",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"119",119,"TABEBUIA ROSEA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"120",120,"TACHIGALIA VERSICOLOR",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"121",121,"TACHIGALI VERSICOLOR",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"122",122,"TAPIRIRA GUIANENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"123",123,"TERMINALIA AMAZONIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"124",124,"TRATTINNICKIA ASPERA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"125",125,"VIROLA SEBIFERA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"126",126,"VISMIA BILLBERGIANA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"127",127,"VOCHYSIA FERRUGINEA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"128",128,"VOCHYSIA THYRSOIDEA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"129",129,"XYLOPIA MACRANTHA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"130",130,"ZANTHOXYLUM PANAMENSE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"131",131,"ZUELANIA GUIDONIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
