"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"54",54,"EUGENIA NESIOTICA",1000005068,TRUE,"Eugenia nesiotica",1000005068,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681438",1
"55",55,"FARAMEA OCCIDENTALIS",31837,TRUE,"Faramea occidentalis",31837,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/27902704",1
"56",56,"FICUS CITRIFOLIA",33851,TRUE,"Ficus citrifolia",33851,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/309283",1
"57",57,"FICUS INSIPIDA",1000005277,TRUE,"Ficus insipida",1000005277,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/100555",1
"58",58,"GLIRICIDIA SEPIUM",605,TRUE,"Gliricidia sepium",605,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/167663",1
"59",59,"GUAPIRA NOXIA",1000005697,TRUE,"Guapira noxia",1000005697,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/22500694",1
"60",60,"GUAREA GUIDONIA",622,TRUE,"Guarea guidonia",622,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/155637",1
"61",61,"GUAZUMA ULMIFOLIA",5630,TRUE,"Guazuma ulmifolia",5630,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/30400486",1
"62",62,"GUSTAVIA SUPERBA",1000005920,TRUE,"Gustavia superba",1000005920,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/17900010",1
"63",63,"HEDYOSMUM GOUDOTIANUM",1000006069,TRUE,"Hedyosmum goudotianum",1000006069,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/226676",1
"64",64,"HEDYOSMUM MEXICANUM",1000006073,TRUE,"Hedyosmum mexicanum",1000006073,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/7300015",1
"65",65,"HEVEA BRASILIENSIS",19340,TRUE,"Hevea brasiliensis",19340,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/3981",1
"66",66,"HOLOCALYX BALANSAE",NA,FALSE,"Holocalyx balansae",NA,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13020477",11
"67",67,"HYMENAEA COURBARIL",27020,TRUE,"Hymenaea courbaril",27020,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/20676",1
"68",68,"HYMENAEA MARTIANA",NA,FALSE,"Hymenaea martiana",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/1902340",11
"69",69,"HYMENAEA STIGNOCARPA",NA,FALSE,"Hymenaea stigonocarpa",NA,FALSE,"iPlant_TNRS","0.99",NA,"http://www.tropicos.org/Name/13020524",12
