"","submit_name","genus","species","bety_id","in_PFT","case","uri","scientificname"
"84","SIMAROUBA AMARA","Simarouba","amara",50962,TRUE,1,"http://www.tropicos.org/Name/29400090","Simarouba amara"
"85","SPONDIAS PURPUREA","Spondias","purpurea",24450,TRUE,1,"http://www.tropicos.org/Name/1300271","Spondias purpurea"
"86","SWIETENIA MACROPHYLLA","Swietenia","macrophylla",1354,TRUE,1,"http://www.tropicos.org/Name/20400346","Swietenia macrophylla"
"87","SYZYGIUM CUMINI","Syzygium","cumini",36558,TRUE,1,"http://www.tropicos.org/Name/22102113","Syzygium cumini"
"88","TABEBUIA ROSEA","Tabebuia","rosea",2834,TRUE,1,"http://www.tropicos.org/Name/3700648","Tabebuia rosea"
"89","TACHIGALI VERSICOLOR","Tachigali","versicolor",50999,TRUE,1,"http://www.tropicos.org/Name/13001906","Tachigali versicolor"
"90","TAPIRIRA GUIANENSIS","Tapirira","guianensis",1000014356,TRUE,1,"http://www.tropicos.org/Name/1300281","Tapirira guianensis"
"91","TERMINALIA AMAZONIA","Terminalia","amazonia",1000014401,TRUE,1,"http://www.tropicos.org/Name/8200207","Terminalia amazonia"
"92","TRATTINNICKIA ASPERA","Trattinnickia","aspera",1000014798,TRUE,1,"http://www.tropicos.org/Name/4700241","Trattinnickia aspera"
"93","VIROLA SEBIFERA","Virola","sebifera",25996,TRUE,1,"http://www.tropicos.org/Name/21800101","Virola sebifera"
"94","VISMIA BILLBERGIANA","Vismia","billbergiana",1000015206,TRUE,1,"http://www.tropicos.org/Name/7800776","Vismia billbergiana"
"95","VOCHYSIA FERRUGINEA","Vochysia","ferruginea",1000015271,TRUE,1,"http://www.tropicos.org/Name/34100141","Vochysia ferruginea"
"96","XYLOPIA MACRANTHA","Xylopia","macrantha",1000015453,TRUE,1,"http://www.tropicos.org/Name/1600511","Xylopia macrantha"
"97","ZANTHOXYLUM PANAMENSE","Zanthoxylum","panamense",51088,TRUE,1,"http://www.tropicos.org/Name/28100631","Zanthoxylum panamense"
"98","ZUELANIA GUIDONIA","Zuelania","guidonia",51093,TRUE,1,"http://www.tropicos.org/Name/13200529","Zuelania guidonia"
"99","AEGIPHILA LHOTZKIANA","Aegiphila","lhotzkiana",49913,TRUE,2,NA,"Aegiphila lhotzkiana"
"100","KIELMEYERA CORIACEA","Kielmeyera","coriacea",50498,TRUE,2,"http://www.tropicos.org/Name/7801213","Kielmeyera coriacea"
"101","SIMAROUBA GLAUCA","Simarouba","glauca",13388,TRUE,2,NA,"Simarouba glauca"
"102","ANTIRRHEA TRICHANTHA","Pittoniotis","trichantha",1000011255,TRUE,7,"http://www.tropicos.org/Name/27903746","Pittoniotis trichantha"
"103","ASPIDOSPERMA CRUENTA","Aspidosperma","desmanthum",1000000969,TRUE,7,"http://www.tropicos.org/Name/1800106","Aspidosperma desmanthum"
"104","BURSERA SIMAROUBA","Bursera","simaruba",227,TRUE,7,"http://www.tropicos.org/Name/4700231","Bursera simaruba"
"105","CHRYSOPHLLUM CAINITO","Chrysophyllum","cainito",28944,TRUE,7,"http://www.tropicos.org/Name/28700679","Chrysophyllum cainito"
"106","HYMENEA COURBARIL","Hymenaea","courbaril",27020,TRUE,7,"http://www.tropicos.org/Name/13005950","Hymenaea courbaril"
"107","TACHIGALIA VERSICOLOR","Tachigali","versicolor",50999,TRUE,7,NA,"Tachigali versicolor"
"108","AEGIPHILA SELLOWIANA","Aegiphila","sellowiana",1000000238,TRUE,9,"http://www.tropicos.org/Name/50214172","Aegiphila sellowiana"
"109","CAESALPINIA ERIOSTACHYS","Caesalpinia","eriostachys",1000001917,TRUE,9,"http://www.tropicos.org/Name/13015217","Caesalpinia eriostachys"
"110","CAPPARIS INDICA","Capparis","indica",46256,TRUE,9,"http://www.tropicos.org/Name/50298080","Capparis indica"
"111","SCLEROLOBIUM PANICULATUM","Sclerolobium","paniculatum",1000013036,TRUE,9,"http://www.tropicos.org/Name/50317942","Sclerolobium paniculatum"
"112","ALBIZIA GUACHAPELE","Albizia","guachapele",1000020862,TRUE,11,"http://www.tropicos.org/Name/13002026","Albizia guachapele"
"113","BALFOURODENDRON RIEDELIANUM","Balfourodendron","riedelianum",1000020863,TRUE,11,"http://www.tropicos.org/Name/28101311","Balfourodendron riedelianum"
"114","BYRSONIMA CRASSA","Byrsonima","crassa",1000020864,TRUE,11,NA,"Byrsonima crassa"
"115","CEIBA SPECIOSA","Ceiba","speciosa",1000020865,TRUE,11,"http://www.tropicos.org/Name/3900746","Ceiba speciosa"
"116","CORDIA TRICHOTOMA","Cordia","trichotoma",1000020866,TRUE,11,"http://www.tropicos.org/Name/4002034","Cordia trichotoma"
