Species,Ptlp,WD,SLA,Organ,Ref,Biome,Long,Lat
eperua grandiflora,-1.9102,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eperua grandiflora,-2.256866667,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eperua grandiflora,-1.987853333,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eperua grandiflora,-1.994093333,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eperua grandiflora,-2.031533333,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eperua grandiflora,-2.04956,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eperua grandiflora,-2.17852,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera coriacea,-1.705666667,0.852083333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera coriacea,-1.66476,0.852083333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera coriacea,-2.028066667,0.852083333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera coriacea,-1.71884,0.852083333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera coriacea,-1.984386667,0.852083333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera coriacea,-1.6814,0.852083333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera coriacea,-2.014893333,0.852083333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eschweilera grandiflora,-1.7542,0.876,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
guettarda acreana,-1.780546667,0.87,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
gustavia hexapetala,-1.996866667,0.716,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
gustavia hexapetala,-1.958733333,0.716,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
gustavia hexapetala,-2.014893333,0.716,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
gustavia hexapetala,-1.750733333,0.716,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
gustavia hexapetala,-1.917826667,0.716,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
gustavia hexapetala,-2.26172,0.716,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
hirtella glandulosa,-1.88628,0.925,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
hymenaea courbaril,-1.442893333,0.79235,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
iryanthera sagotiana,-1.83012,0.572,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis persistens,-1.744493333,0.86,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis persistens,-1.925453333,0.86,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis persistens,-2.056493333,0.86,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis persistens,-2.030146667,0.86,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis persistens,-1.99964,0.86,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis persistens,-1.946946667,0.86,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis persistens,-1.944866667,0.86,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis poiteaui,-2.19724,0.802,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis poiteaui,-2.586893333,0.802,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis poiteaui,-2.643053333,0.802,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis poiteaui,-3.145026667,0.802,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
lecythis poiteaui,-2.333133333,0.802,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania alba,-2.025986667,0.8874,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania alba,-1.901186667,0.8874,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania alba,-1.7438,0.8874,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania alba,-2.19932,0.8874,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania alba,-2.077293333,0.8874,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania alba,-2.138306667,0.8874,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania alba,-2.2222,0.8874,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-2.123053333,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-2.06828,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-1.951106667,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-2.016973333,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-1.69804,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-2.32828,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-1.994786667,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania canescens,-2.202093333,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania membranacea,-2.1598,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania membranacea,-2.262413333,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania membranacea,-2.102253333,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania membranacea,-1.973293333,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania membranacea,-2.79316,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licania membranacea,-2.143853333,0.88,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
licaria guianensis,-2.435053333,0.7475,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
manilkara huberi,-2.36364,0.921363636,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
manilkara huberi,-2.13276,0.921363636,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
minquartia guianensis,-1.611373333,0.786714286,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
neea floribunda,-1.90604,0.62,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
ocotea percurrens,-1.722306667,0.519,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
perebea guianensis,-1.817293333,0.56,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
pourouma tomentosa,-1.688333333,0.395,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
pouteria cladantha,-1.926146667,0.942333333,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
pouteria filipes,-2.19932,0.964,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium opacum,-1.8998,0.57,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium opacum,-1.927533333,0.57,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium opacum,-2.1182,0.57,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium sagotianum,-2.23052,0.5575,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium sagotianum,-2.27628,0.5575,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium sagotianum,-2.32828,0.5575,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium sagotianum,-2.312333333,0.5575,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium trifoliolatum,-2.34076,0.685,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
protium trifoliolatum,-2.283213333,0.685,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
qualea rosea,-1.77916,0.5796,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
talisia microphylla,-2.041933333,0.8165,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
tapura capitulifera,-1.915053333,0.7205,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
tapura capitulifera,-1.950413333,0.7205,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
tapura capitulifera,-1.661293333,0.7205,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
theobroma subincanum,-1.657133333,0.47,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
theobroma subincanum,-2.04332,0.47,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
theobroma subincanum,-1.738946667,0.47,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
theobroma subincanum,-2.109186667,0.47,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
unonopsis rufescens,-1.520546667,0.605,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
unonopsis rufescens,-1.992013333,0.605,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
unonopsis rufescens,-1.957346667,0.605,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
vataireopsis surinamensis,-1.761826667,0.57,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
virola michelii,-1.838093333,0.470125,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
virola michelii,-1.644653333,0.470125,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
